Course Code,Academic Year,Semester
CS161,2017 - 2018,1
Student ID,Midterm Score,Lab Score
1751047,9,10
1751048,9,10
1751049,9,10
1751050,9,10
1751051,9,10
1751052,9,10
1751053,9,10
1751054,9,10
1751055,9,10
1751125,9,10
1751057,9,10
1751058,9,10
1751029,9,10
1751059,9,10
1751002,9,10
1751001,9,10
1751060,9,10
1751061,9,10
1751062,9,10
1751063,9,10
1751064,9,10
1751065,9,10
1751004,9,10
1751045,9,10
1751005,9,10
1751066,9,10
1751067,9,10
1751068,9,10
1751069,9,10
1751070,9,10
1751008,9,10
1751030,9,10
1751071,9,10
1751072,9,10
1751074,9,10
1751076,9,10
1751077,9,10
1751124,9,10
1751039,9,10
1751031,9,10
1751078,9,10
1751080,9,10
1751041,9,10
1751011,9,10
1751081,9,10
1751082,9,10
1751012,9,10
1751043,9,10
1751013,9,10
1751083,9,10
1751084,9,10
1751085,9,10
1751016,9,10
1751033,9,10
1751086,9,10
1751087,9,10
1751089,9,10
1751090,9,10
1751091,9,10
1751092,9,10
1751093,9,10
1751094,9,10
1751046,9,10
1751096,9,10
1751097,9,10
1751035,9,10
1751098,9,10
1751099,9,10
1751100,9,10
1751018,9,10
1751101,9,10
1751021,9,10
1751102,9,10
1751019,9,10
1751103,9,10
1751020,9,10
1751040,9,10
1751104,9,10
1751022,9,10
1751105,9,10
1751023,9,10
1751036,9,10
1751037,9,10
1751042,9,10
1751106,9,10
1751107,9,10
1751024,9,10
1751108,9,10
1751109,9,10
1751044,9,10
1751111,9,10
1751112,9,10
1751113,9,10
1751026,9,10
1751114,9,10
1751115,9,10
1751116,9,10
1751119,9,10
1751120,9,10
1751121,9,10
1751122,9,10
1751027,9,10
1751028,9,10
1751123,9,10
