Course Code,Academic Year,Semester
MTH252,2017 - 2018,2
Student ID,Midterm Score,Lab Score
1751047,9,7
1751048,9,7
1751049,9,7
1751050,9,7
1751051,9,7
1751052,9,7
1751053,9,7
1751054,9,7
1751055,9,7
1751125,9,7
1751057,9,7
1751058,9,7
1751029,9,7
1751059,9,7
1751002,9,7
1751001,9,7
1751060,9,7
1751061,9,7
1751062,9,7
1751063,9,7
1751064,9,7
1751065,9,7
1751004,9,7
1751045,9,7
1751005,9,7
1751066,9,7
1751067,9,7
1751068,9,7
1751069,9,7
1751070,9,7
1751008,9,7
1751030,9,7
1751071,9,7
1751072,9,7
1751074,9,7
1751076,9,7
1751077,9,7
1751124,9,7
1751039,9,7
1751031,9,7
1751078,9,7
1751080,9,7
1751041,9,7
1751011,9,7
1751081,9,7
1751082,9,7
1751012,9,7
1751043,9,7
1751013,9,7
1751083,9,7
1751084,9,7
1751085,9,7
1751016,9,7
1751033,9,7
1751086,9,7
1751087,9,7
1751089,9,7
1751090,9,7
1751091,9,7
1751092,9,7
1751093,9,7
1751094,9,7
1751046,9,7
1751096,9,7
1751097,9,7
1751035,9,7
1751098,9,7
1751099,9,7
1751100,9,7
1751018,9,7
1751101,9,7
1751021,9,7
1751102,9,7
1751019,9,7
1751103,9,7
1751020,9,7
1751040,9,7
1751104,9,7
1751022,9,7
1751105,9,7
1751023,9,7
1751036,9,7
1751037,9,7
1751042,9,7
1751106,9,7
1751107,9,7
1751024,9,7
1751108,9,7
1751109,9,7
1751044,9,7
1751111,9,7
1751112,9,7
1751113,9,7
1751026,9,7
1751114,9,7
1751115,9,7
1751116,9,7
1751119,9,7
1751120,9,7
1751121,9,7
1751122,9,7
1751027,9,7
1751028,9,7
1751123,9,7
