Course Code,Academic Year,Semester
PH212,2017 - 2018,2
Student ID,Midterm Score,Lab Score
1751047,10,10
1751048,10,10
1751049,10,10
1751050,10,10
1751051,10,10
1751052,10,10
1751053,10,10
1751054,10,10
1751055,10,10
1751125,10,10
1751057,10,10
1751058,10,10
1751029,10,10
1751059,10,10
1751002,10,10
1751001,10,10
1751060,10,10
1751061,10,10
1751062,10,10
1751063,10,10
1751064,10,10
1751065,10,10
1751004,10,10
1751045,10,10
1751005,10,10
1751066,10,10
1751067,10,10
1751068,10,10
1751069,10,10
1751070,10,10
1751008,10,10
1751030,10,10
1751071,10,10
1751072,10,10
1751074,10,10
1751076,10,10
1751077,10,10
1751124,10,10
1751039,10,10
1751031,10,10
1751078,10,10
1751080,10,10
1751041,10,10
1751011,10,10
1751081,10,10
1751082,10,10
1751012,10,10
1751043,10,10
1751013,10,10
1751083,10,10
1751084,10,10
1751085,10,10
1751016,10,10
1751033,10,10
1751086,10,10
1751087,10,10
1751089,10,10
1751090,10,10
1751091,10,10
1751092,10,10
1751093,10,10
1751094,10,10
1751046,10,10
1751096,10,10
1751097,10,10
1751035,10,10
1751098,10,10
1751099,10,10
1751100,10,10
1751018,10,10
1751101,10,10
1751021,10,10
1751102,10,10
1751019,10,10
1751103,10,10
1751020,10,10
1751040,10,10
1751104,10,10
1751022,10,10
1751105,10,10
1751023,10,10
1751036,10,10
1751037,10,10
1751042,10,10
1751106,10,10
1751107,10,10
1751024,10,10
1751108,10,10
1751109,10,10
1751044,10,10
1751111,10,10
1751112,10,10
1751113,10,10
1751026,10,10
1751114,10,10
1751115,10,10
1751116,10,10
1751119,10,10
1751120,10,10
1751121,10,10
1751122,10,10
1751027,10,10
1751028,10,10
1751123,10,10
