Course Code,Academic Year,Semester
TCH001,2017 - 2018,2
Student ID,Midterm Score,Lab Score
1751047,8,5
1751048,8,5
1751049,8,5
1751050,8,5
1751051,8,5
1751052,8,5
1751053,8,5
1751054,8,5
1751055,8,5
1751125,8,5
1751057,8,5
1751058,8,5
1751029,8,5
1751059,8,5
1751002,8,5
1751001,8,5
1751060,8,5
1751061,8,5
1751062,8,5
1751063,8,5
1751064,8,5
1751065,8,5
1751004,8,5
1751045,8,5
1751005,8,5
1751066,8,5
1751067,8,5
1751068,8,5
1751069,8,5
1751070,8,5
1751008,8,5
1751030,8,5
1751071,8,5
1751072,8,5
1751074,8,5
1751076,8,5
1751077,8,5
1751124,8,5
1751039,8,5
1751031,8,5
1751078,8,5
1751080,8,5
1751041,8,5
1751011,8,5
1751081,8,5
1751082,8,5
1751012,8,5
1751043,8,5
1751013,8,5
1751083,8,5
1751084,8,5
1751085,8,5
1751016,8,5
1751033,8,5
1751086,8,5
1751087,8,5
1751089,8,5
1751090,8,5
1751091,8,5
1751092,8,5
1751093,8,5
1751094,8,5
1751046,8,5
1751096,8,5
1751097,8,5
1751035,8,5
1751098,8,5
1751099,8,5
1751100,8,5
1751018,8,5
1751101,8,5
1751021,8,5
1751102,8,5
1751019,8,5
1751103,8,5
1751020,8,5
1751040,8,5
1751104,8,5
1751022,8,5
1751105,8,5
1751023,8,5
1751036,8,5
1751037,8,5
1751042,8,5
1751106,8,5
1751107,8,5
1751024,8,5
1751108,8,5
1751109,8,5
1751044,8,5
1751111,8,5
1751112,8,5
1751113,8,5
1751026,8,5
1751114,8,5
1751115,8,5
1751116,8,5
1751119,8,5
1751120,8,5
1751121,8,5
1751122,8,5
1751027,8,5
1751028,8,5
1751123,8,5
